,name,date,mag,mag_psf,factor
248,HIP115806,2014nov07,4.58,7.051,9.736435697988865
249,HIP117122,2013nov17,7.19,7.051,0.8798324994418664
250,HIP117481,2013nov17,6.26,7.051,2.0720488977590046
251,HIP117915,2012oct29,6.11,7.051,2.3790304458806246
252,HIP117960,2012dec05,6.11,7.051,2.3790304458806246
253,HIP118133,2012aug28,6.68,7.051,1.4073431383183492
254,BD+45598,2013sep25,5.63,7.051,3.701689610332349
255,BD+45598,2014oct03,6.05,7.051,2.514201030159022
256,BD+45598,2015jan10,6.56,7.051,1.5718098282039192
257,G34-23,2013oct17,4.49,7.051,10.577913224995008
258,GJ4185,2013sep25,6.32,7.051,1.9606496672266
259,GJ4185,2013dec18,6.71,7.051,1.3689891307007354
260,HD001404,2011oct15,6.71,7.051,1.3689891307007354
261,HD225200,2011oct15,7.16,7.051,0.9044821490475903
262,HD225200,2012oct28,7.16,7.051,0.9044821490475903
263,HD38207,2014nov07,7.16,7.051,0.9044821490475903
264,HD76223,2014dec07,4.902,7.051,7.23769037074529
265,HD35841,2015jan10,6.09,7.051,2.4232599240925508
266,TYC2838-2350-1,2013oct17,6.893,7.051,1.156644774165646
